MASTERCLIENT,LOCATIONCODE,ITEMNO,DESCRIPTION,DESCRIPTION2,OKQUANTITY,REJECTQUANTITY,HOLDQUANTITY,TOTALQUANTITY,PUTAWAYOUTSTANDINGQTY,GATEENTRYOUTSTANDING,UOM,ITEMCATEGORYCODE,BRANDCODE,VENDORCODE,VENDORNAME,GRNNUMBER,ASNNO,GRNREGISTEREDDATE,CLIENTGRNDATE,PETSTYLECODE,STYLENAME,COLORCODE,SIZECODE,SOURCENO,INVOICENO,INVOICEDATE,VEHICLEARRIVALDATETIME,STATUS,POTYPE,CREATEDBY,MODIFYBY,IMEI,BOXID,STOREID,LOTNO,SERIALNO,Matc,LOTEXPIRY,MRP,VENDORBATCHNO,MFGDATE,PONO,PURCHASEPRICE,VENDORORDERNO,DISPATCHTYPE,ITEMSERIALNO,TOTALWAREHOUSEQUANTITY,CONTAINERNO,PONO2,COUNTRY_OF_ORIGIN,CATEGORY,BILL_OF_LADING,BILL_OF_ENTRY,WEIGHT,VOLUME,LPNCODE,ITEMCBM,ASNCBM,TOTALITEMCBM,TOTALASNCBM,NO2,BINCODE,TRANSPORTERNAME,VEHICLENO,DOCKETNO,VENDORADDRESS,SOURCETYPE,DEVICEMAC,DATA_MONTH
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110634,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00065,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E81103,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110339,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00064,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E7E5C3,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110344,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00065,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E806FB,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110640,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00065,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E8037B,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110351,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00063,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E7E663,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110342,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00063,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E7E6C3,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110328,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00064,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E804BB,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110350,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00063,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E7E783,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110628,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00064,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E81943,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110352,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00065,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E7E74B,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110625,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00064,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E815CB,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110343,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00063,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E7F443,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110321,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00064,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E7E6E3,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110626,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00063,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E85E3B,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110353,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00063,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E7E66B,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110338,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00064,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E7FA7B,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110332,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00063,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E7FBCB,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110636,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00065,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E8582B,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110623,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00064,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E85CFB,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110638,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00064,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E8111B,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110336,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00064,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E80D6B,1/1/2026
